Continent,Country,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,Severe
Africa,Madagascar,11528,114,416.308,4.117,27691019,43.951,19.6,2.929,1416.44,405.994,3.94,,,0.2,67.04,No
Africa,Malawi,4231,123,221.171,6.43,19129955,197.519,18.1,2.979,1095.042,227.349,3.94,4.4,24.7,1.3,64.26,No
Asia,Malaysia,8999,125,278.039,3.862,32365998,96.254,29.9,6.293,26808.164,260.942,16.74,1,42.4,1.9,76.16,No
Asia,Maldives,4164,17,7703.379,31.45,540542,1454.433,30.6,4.12,15183.616,164.905,9.19,2.1,55,,78.92,No
Africa,Mali,2541,124,125.476,6.123,20250834,15.196,16.4,2.519,2014.306,268.024,2.42,1.6,23,0.1,59.31,No
Europe,Malta,795,9,1800.52,20.383,441539,1454.037,42.4,19.426,36513.323,168.711,8.83,20.9,30.2,4.485,82.53,No
Africa,Mauritania,6310,157,1357.088,33.766,4649660,4.289,20.3,3.138,3597.633,232.347,2.42,,,,64.92,No
Africa,Mauritius,344,10,270.49,7.863,1271767,622.962,37.4,10.945,20292.745,224.644,22.02,3.2,40.7,3.4,74.99,No
North America,Mexico,439046,47746,3405.232,370.317,128932753,66.444,29.3,6.857,17336.469,152.783,13.06,6.9,21.4,1.38,75.05,Yes
Europe,Moldova,25362,791,6287.118,196.085,4033963,123.655,37.6,10.864,5189.972,408.502,5.72,5.9,44.6,5.8,71.9,Yes
Europe,Monaco,120,5,3057.792,127.408,39244,19347.5,,,,,5.46,,,13.8,86.75,No
Asia,Mongolia,293,0,89.376,0,3278292,1.98,28.6,4.031,11840.846,460.043,4.82,5.5,46.5,7,69.87,No
Europe,Montenegro,3258,51,5187.386,81.202,628062,46.28,39.1,14.762,16409.288,387.305,10.08,44,47.9,3.861,76.88,No
North America,Montserrat,13,1,2600.52,200.04,4999,,,,,,,,,,74.16,No
Africa,Morocco,25537,382,691.862,10.349,36910558,80.08,29.6,6.769,7485.013,419.146,7.14,0.8,47.1,1.1,76.68,No
Africa,Mozambique,1946,13,62.261,0.416,31255435,37.728,17.7,3.158,1136.103,329.942,3.3,5.1,29.1,0.7,60.85,No
Asia,Myanmar,353,6,6.488,0.11,54409794,81.721,29.1,5.732,5591.597,202.104,4.61,6.3,35.2,0.9,67.13,No
Africa,Namibia,2294,11,902.824,4.329,2540916,3.078,22,3.552,9541.808,243.811,3.94,9.7,34.2,,63.71,No
Asia,Nepal,20332,57,697.812,1.956,29136808,204.43,25,5.809,2442.804,260.797,7.26,9.5,37.8,0.3,70.78,No
Europe,Netherlands,55043,6148,3212.338,358.8,17134873,508.544,43.2,18.779,48472.545,109.361,5.29,24.4,27.3,3.32,82.28,Yes
Oceania,New Caledonia,22,0,77.06,0,285491,15.342,33.4,9.954,,,23.36,,,,77.55,No
Oceania,New Zealand,1217,22,252.373,4.562,4822233,18.206,37.9,15.322,36085.843,128.797,8.08,14.8,17.2,2.61,82.29,No
North America,Nicaragua,3672,116,554.301,17.511,6624554,51.667,27.3,5.445,5321.444,137.016,11.47,,,0.9,74.48,No
Africa,Niger,1147,69,47.384,2.85,24206636,16.955,15.1,2.553,926,238.339,2.42,0.1,15.4,0.3,62.42,No
Africa,Nigeria,43841,888,212.676,4.308,206139587,209.588,18.1,2.751,5338.454,181.013,2.42,0.6,10.8,,54.69,No
Oceania,Northern Mariana Islands,46,2,799.208,34.748,57557,119.878,,,,194.994,,,,,76.74,No
Europe,Norway,9208,255,1698.504,47.037,5421242,14.462,39.7,16.821,64800.057,114.316,5.31,19.6,20.7,3.6,82.4,No
Asia,Oman,79159,421,15501.245,82.442,5106622,14.98,30.7,2.355,37960.709,266.342,12.61,0.5,15.6,1.6,77.86,Yes
Asia,Pakistan,280029,5984,1267.717,27.09,220892331,255.573,23.5,4.495,5034.708,423.031,8.35,2.8,36.7,0.6,67.27,Yes
Asia,Palestine,15780,87,3093.259,17.054,5101416,778.202,20.4,3.043,4449.898,265.91,10.59,,,,74.05,No
North America,Panama,67453,1471,15633.054,340.922,4314768,55.133,29.7,7.918,22267.037,128.346,8.33,2.4,9.9,2.3,78.51,Yes
Oceania,Papua New Guinea,110,2,12.295,0.224,8947027,18.22,22.6,3.808,3823.194,561.494,17.65,23.5,48.8,,64.5,No
South America,Paraguay,5644,52,791.304,7.291,7132530,17.144,26.5,6.378,8827.01,199.128,8.27,5,21.6,1.3,74.25,No
South America,Peru,428850,19614,13006.551,594.871,32971846,25.129,29.1,7.151,12236.706,85.755,5.95,4.8,,1.6,76.74,Yes
Asia,Philippines,103185,2059,941.631,18.79,109581085,351.873,25.2,4.803,7599.188,370.437,7.07,7.8,40.8,1,71.23,No
Europe,Poland,46894,1731,1239.054,45.737,37846605,124.027,41.8,16.763,27216.445,227.331,5.91,23.3,33.1,6.62,78.73,No
Europe,Portugal,51463,1738,5047.022,170.447,10196707,112.371,46.2,21.502,27936.896,127.842,9.85,16.3,30,3.39,82.05,Yes
North America,Puerto Rico,18411,230,6435.522,80.396,2860840,376.232,38.2,15.168,35044.67,108.094,12.9,,,,80.1,Yes
Asia,Qatar,111107,177,38564.626,61.436,2881060,227.322,31.9,1.307,116935.6,176.69,16.52,0.8,26.9,1.2,80.23,Yes
Europe,Romania,53186,2413,2764.678,125.431,19237682,85.129,43,17.85,23313.199,370.946,9.74,22.9,37.1,6.892,76.05,Yes
Europe,Russia,850870,14128,5830.494,96.811,145934460,8.823,39.6,14.178,24765.954,431.297,6.18,23.4,58.3,8.05,72.58,Yes
