Player,Team,Init_group,Runs,Ave_Bat,Wickets,Econonmy
S Dhawan,Punjab Kings,Batsman,460,38.33,0,36
S Dube,Chennai Super Kings,Alrounder,289,28.9,0,18
S Gopal,Sunrisers Hyderabad,Bowler,9,0,1,11.33
S Kaul,Royal Challengers Bangalore,Bowler,0,0,0,10.75
SA Abbott,Sunrisers Hyderabad,Bowler,7,7,1,11.75
SA Yadav,Mumbai Indians,Batsman,303,43.28,0,36
Sandeep Sharma,Punjab Kings,Bowler,0,0,2,7.65
SE Rutherford,Royal Challengers Bangalore,Alrounder,33,16.5,0,36
Shahbaz Ahmed,Royal Challengers Bangalore,Alrounder,219,27.37,4,9.6
Shashank Singh,Sunrisers Hyderabad,Batsman,69,17.25,0,10
Shivam Mavi,Kolkata Knight Riders,Bowler,3,1.5,5,10.31
Shubman Gill,Gujarat Titans,Batsman,483,34.5,0,36
Simarjeet Singh,Chennai Super Kings,Bowler,7,7,4,7.66
SN Khan,Delhi Capitals,Batsman,91,30.33,0,36
SN Thakur,Delhi Capitals,Bowler,120,15,15,9.78
SO Hetmyer,Rajasthan Royals,Batsman,314,44.85,0,36
SP Jackson,Kolkata Knight Riders,Batsman,23,5.75,0,36
SP Narine,Kolkata Knight Riders,Alrounder,71,8.87,9,5.57
SS Iyer,Kolkata Knight Riders,Batsman,401,30.84,0,7
SS Prabhudessai,Royal Challengers Bangalore,Batsman,67,13.4,0,36
SV Samson,Rajasthan Royals,Batsman,458,28.62,0,36
SW Billings,Kolkata Knight Riders,Batsman,169,24.14,0,36
T Natarajan,Sunrisers Hyderabad,Bowler,0,0,18,9.44
TA Boult,Rajasthan Royals,Bowler,40,20,16,7.93
TG Southee,Kolkata Knight Riders,Bowler,2,0.5,14,7.85
TH David,Mumbai Indians,Alrounder,186,37.2,0,36
TL Seifert,Delhi Capitals,Batsman,24,12,0,36
TS Mills,Mumbai Indians,Bowler,0,0,6,11.17
TU Deshpande,Chennai Super Kings,Bowler,0,0,1,9
Umran Malik,Sunrisers Hyderabad,Bowler,4,4,22,9.03
UT Yadav,Kolkata Knight Riders,Bowler,55,13.75,16,7.06
V Kohli,Royal Challengers Bangalore,Batsman,341,22.73,0,36
V Shankar,Gujarat Titans,Alrounder,19,4.75,0,10
VG Arora,Punjab Kings,Bowler,5,2.5,3,9.19
VR Aaron,Gujarat Titans,Bowler,0,0,2,10.4
VR Iyer,Kolkata Knight Riders,Alrounder,182,16.54,0,11.5
Washington Sundar,Sunrisers Hyderabad,Alrounder,101,14.42,6,8.53
WP Saha,Gujarat Titans,Batsman,317,31.7,0,36
Yash Dayal,Gujarat Titans,Bowler,0,0,11,9.25
YBK Jaiswal,Rajasthan Royals,Batsman,258,25.8,0,36
YS Chahal,Rajasthan Royals,Bowler,5,5,27,7.75
