,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
36,312900,311400,305100,298600,299000,299900,301700,293900,282300,278100,287200,289500,294000,296900,295900,292700,272300,291900,319700,335400,330911,332779,422435,385174,359779,346474,336603,328276,334273,335621,330028,339139,346924,358310,364623,373499,388306,394862,405556,413485,417934,417442,419182,407642,406323,398275,404942,394358,377751,362088,357400,349719,345608,350437,376282,392781,391861,387242,387931,385378
37,317900,314700,311100,304600,297600,298800,298500,299100,291600,280100,276900,286400,288600,292300,295500,293900,291400,271100,291900,319600,333211,328733,331189,422532,384957,359204,346030,335913,327308,333919,335168,329384,338282,346744,358425,364549,372737,387311,394984,405801,413528,418196,418437,418758,409825,407064,400415,406160,394381,378268,362691,356752,349479,345551,351122,377270,392246,391396,386129,387466
38,322300,318500,313400,310500,303800,296900,297500,296100,297100,290100,280100,276100,285000,287000,291000,293700,292600,290100,271000,291400,317710,331207,327596,331087,422376,384509,358952,345538,335340,327267,333196,334224,328785,337695,347069,358740,364239,372251,387148,395040,405901,413878,419159,417894,420409,409885,408689,400716,406342,394828,379017,361989,356870,349753,346302,352172,377387,391859,389897,385262
39,342400,323100,316200,312100,309900,302700,295500,295300,294400,295900,289900,278900,275900,283400,286300,289500,292600,291000,290100,270500,289809,315624,329943,328210,330947,422099,384459,358577,344771,335789,326953,332788,333676,328618,337723,347350,358815,364292,372819,387034,395276,406753,415206,418627,419203,420201,410777,408823,400023,406933,395495,378444,362122,356716,349937,346731,352227,377286,390952,389232
40,364600,343600,321700,315200,311300,309700,303100,294900,294100,293400,293400,289600,278600,274700,282400,285300,288900,291500,291100,288800,268893,289200,315779,330903,328138,330735,422163,384054,357911,345508,335546,326539,331665,333076,328775,337505,347513,358880,364533,372156,385494,397769,406404,413560,419564,417521,419348,410123,409583,398083,405691,394462,378605,361909,357070,350339,346452,352101,376940,390310
41,351200,363800,341200,320100,313600,311200,308700,301900,292900,292700,293400,293200,288400,277300,274100,281500,284900,288000,291100,290200,287292,268347,288730,315304,330555,327403,330071,421415,383851,358245,344874,334812,326181,331286,332863,328796,337116,347381,359522,365000,371967,387363,397689,404791,414393,417855,416521,418383,410182,407629,396139,404656,394475,378349,361981,357150,350257,346424,351931,376308
42,273100,359000,360000,339600,318500,313800,310400,307400,300000,291500,291200,293200,292600,286900,275900,273100,280700,284000,287200,290700,288292,286344,267323,288005,314703,329904,326659,329161,421112,382819,357474,343785,333715,325853,330957,332797,328670,336718,347923,360026,364895,373687,387208,396771,405591,413199,416866,415342,418115,407789,405713,395357,404688,394397,378828,362762,357502,350575,346480,351700
43,252400,268200,362600,357100,337700,318300,312500,308600,305600,298800,290800,290100,292300,291200,286100,274900,272700,280000,283400,286500,288892,287244,285218,266449,287480,313818,329161,325647,328529,419675,382195,356535,343017,332843,325840,330485,332323,328499,336825,348749,360201,366354,373474,385828,397834,404488,412490,415738,414866,415628,405426,404697,395228,404660,394896,379290,362962,357469,350755,346250
44,280500,251800,261100,364000,354400,337600,316900,310400,306400,304200,298200,289600,289700,290700,290200,284700,274100,272300,279100,282300,284594,287569,286118,284223,265668,286735,312740,328030,324583,327566,419180,381468,355659,342323,332386,325820,330100,331705,328610,336777,348641,361341,366111,372347,386460,397219,404101,411754,415295,412373,413171,404505,404613,395330,405438,395756,379709,363192,357752,350990
45,295200,280400,249000,259400,367600,355600,335800,315000,308200,304600,303900,296400,288900,288000,289600,289000,283600,273200,271300,278300,280293,283114,286307,285358,283161,264769,285797,311646,327470,323467,326544,416241,380550,354566,341437,331251,325231,329188,331276,328065,336262,346222,360873,366017,371965,386452,395115,403440,411528,415041,411181,412350,404101,404612,395897,405864,395755,379234,362929,357795
