,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
90,5539,5763,5922,6272,6526,6568,6768,6746,6894,7041,7734,7884,7937,8000,8017,8080,8120,8349,8539,8716,8617,8885,9140,9233,9434,9653,9984,10413,11100,12000,12840,13645,14657,15312,16168,16884,17791,18870,19633,20272,21129,22204,22897,23772,24476,23992,22877,22062,25168,31559,35210,35545,35238,36313,37545,39103,40089,40852,42860,44215
91,3857,4036,4133,4444,4681,4724,4927,4952,4999,5109,5675,5809,5899,5958,5973,6029,6019,6108,6271,6525,6488,6592,6805,6996,7082,7201,7451,7714,8046,8468,9235,10028,10738,11293,12004,12542,13181,13995,14752,15441,16079,16809,17495,18329,19255,19524,19233,18302,17710,20475,25786,28898,28938,29123,29528,30825,32018,32620,33723,34599
92,2604,2722,2787,3010,3234,3304,3456,3515,3566,3623,4022,4125,4229,4332,4355,4386,4390,4421,4470,4695,4753,4828,4919,5096,5250,5283,5457,5646,5828,5990,6366,7072,7731,8100,8647,9071,9544,10132,10713,11354,11957,12475,12913,13672,14521,15008,15327,15100,14355,14048,16377,20690,22973,23374,23135,23694,24646,25412,26306,26565
93,1709,1778,1823,1957,2107,2212,2341,2406,2484,2520,2801,2878,2927,3033,3080,3096,3104,3136,3152,3266,3328,3439,3517,3604,3744,3832,3917,4033,4151,4247,4385,4722,5283,5655,6028,6335,6706,7156,7564,8027,8553,9033,9290,9809,10602,11065,11483,11757,11609,11099,10929,12813,16009,18053,18125,18080,18438,19080,19991,20156
94,1074,1147,1171,1257,1350,1418,1537,1578,1659,1713,1896,1962,1981,2042,2109,2144,2138,2169,2201,2238,2246,2340,2431,2517,2581,2661,2773,2822,2900,2954,3021,3154,3430,3787,4126,4309,4570,4918,5210,5523,5906,6296,6584,6895,7410,7906,8289,8603,8822,8726,8362,8336,9687,12311,13629,13744,13704,13885,14550,14829
95,656,698,736,794,853,893,967,996,1049,1118,1243,1277,1312,1344,1379,1435,1452,1456,1473,1518,1499,1530,1603,1689,1761,1792,1872,1952,1995,2014,2041,2123,2243,2400,2685,2871,3026,3261,3482,3688,3954,4223,4460,4760,5064,5390,5777,6030,6239,6425,6425,6208,6108,7234,9016,10054,10115,9994,10252,10435
96,396,404,428,484,519,540,589,610,639,683,793,825,827,851,876,905,936,958,959,996,997,1002,1025,1091,1165,1196,1223,1282,1341,1339,1351,1403,1482,1522,1639,1812,1958,2094,2246,2394,2572,2752,2885,3120,3392,3567,3805,4040,4217,4417,4613,4610,4364,4367,5119,6455,7127,7115,7147,7095
97,217,235,242,273,303,319,345,362,383,404,477,514,511,513,535,556,568,596,618,639,643,656,657,680,725,768,808,819,850,870,871,908,947,963,1008,1067,1191,1322,1403,1495,1602,1732,1848,1970,2152,2312,2431,2551,2737,2924,3064,3188,3140,3025,2982,3525,4415,4830,4927,4818
98,113,132,145,150,164,181,196,210,227,236,269,294,310,317,314,322,338,353,372,399,404,417,425,424,436,463,507,528,529,546,558,572,592,598,632,644,685,787,854,896,959,1032,1132,1235,1307,1412,1518,1571,1679,1842,1966,2042,2099,2108,1983,1970,2339,2909,3238,3221
99,69,67,78,85,87,94,108,120,131,131,145,158,177,189,190,187,196,208,211,230,237,254,273,272,265,272,303,325,329,332,338,353,366,369,386,396,408,439,490,536,568,598,652,737,800,843,904,955,1007,1091,1205,1270,1296,1368,1335,1265,1257,1475,1851,1998
100,40,36,36,45,48,50,57,63,73,74,79,81,91,101,110,114,114,118,121,128,129,143,163,165,162,165,177,191,197,196,199,206,217,220,231,230,237,253,264,299,333,345,356,403,468,507,528,545,591,635,685,755,776,823,846,805,756,743,886,1065
